Naive,32,0.818514,0.707603,0.901610
Naive,48,0.929579,0.795891,0.995790
Naive,64,1.029677,0.887745,1.157058
Naive,128,1.029901,0.894030,1.151222
Naive,238,1.087822,0.973464,1.214355
Naive,512,1.056275,0.920624,1.180574
Naive,1024,1.068615,0.927749,1.296246
Naive,32,0.829350,0.703282,1.005951
Naive,48,0.928121,0.804086,0.987931
Naive,64,1.029376,0.890500,1.145120
Naive,128,1.039697,0.895114,1.164443
Naive,238,1.083007,0.947984,1.207299
Naive,512,1.060110,0.918494,1.281075
Naive,1024,1.067136,0.928553,1.192315
Transpose,32,0.550007,0.529986,0.586306
Transpose,48,0.643414,0.638951,0.651932
Transpose,64,0.534572,0.528815,0.544254
Transpose,128,0.535494,0.528656,0.546325
Transpose,238,0.559810,0.553863,0.571432
Transpose,512,0.535977,0.530489,0.544989
Transpose,1024,0.533841,0.529503,0.541573
Naive,32,0.836685,0.706907,1.024606
Naive,48,0.934883,0.873163,1.083323
Naive,64,1.032169,0.896861,1.257590
Naive,128,1.040857,0.974353,1.270960
Naive,238,1.089438,0.946977,1.325249
Naive,512,1.066953,0.921080,1.188846
Naive,1024,1.068154,0.927891,1.282984
Transpose,32,0.540985,0.532507,0.596761
Transpose,48,0.644609,0.642234,0.656471
Transpose,64,0.534959,0.531964,0.545906
Transpose,128,0.534696,0.531644,0.544162
Transpose,238,0.558962,0.555791,0.569476
Transpose,512,0.537575,0.531030,0.573915
Transpose,1024,0.534444,0.531109,0.547205
Shmem,32,0.577096,0.572319,0.585736
Shmem,48,0.615048,0.611231,0.622308
Shmem,64,0.496081,0.492006,0.503309
Shmem,128,0.494175,0.489922,0.501842
Shmem,238,0.520486,0.516073,0.528183
Shmem,512,0.502770,0.488613,0.530885
Shmem,1024,0.492412,0.488575,0.499843
Naive,32,0.834871,0.705752,1.016037
Naive,48,0.926307,0.795966,0.993797
Naive,64,1.037135,0.962005,1.270734
Naive,128,1.033460,0.895844,1.160748
Naive,238,1.082060,0.940416,1.303659
Naive,512,1.064232,0.922762,1.284659
Naive,1024,1.068813,0.927904,1.298083
Transpose,32,0.535722,0.531948,0.551688
Transpose,48,0.645494,0.642351,0.656478
Transpose,64,0.534692,0.531377,0.546848
Transpose,128,0.543349,0.531784,0.614413
Transpose,238,0.559426,0.556344,0.569060
Transpose,512,0.548465,0.531831,0.616788
Transpose,1024,0.535625,0.531293,0.547546
Shmem,32,0.577436,0.572585,0.586041
Shmem,48,0.613582,0.609859,0.620006
Shmem,64,0.494569,0.489377,0.503357
Shmem,128,0.492975,0.488875,0.500861
Shmem,238,0.518862,0.514280,0.527479
Shmem,512,0.511742,0.488740,0.555808
Shmem,1024,0.491611,0.487699,0.499210
Naive,32,0.823552,0.702138,1.002091
Naive,48,0.925554,0.862777,1.068757
Naive,64,1.030835,0.891734,1.160659
Naive,128,1.033035,0.889263,1.261352
Naive,238,1.077717,0.946595,1.207118
Naive,512,1.059642,0.913508,1.186432
Naive,1024,1.063278,0.920258,1.292071
Transpose,32,0.544665,0.529327,0.615768
Transpose,48,0.641634,0.639400,0.652494
Transpose,64,0.569013,0.527002,0.638418
Transpose,128,0.533710,0.530658,0.545033
Transpose,238,0.563908,0.552438,0.636164
Transpose,512,0.544272,0.526790,0.616305
Transpose,1024,0.530921,0.527118,0.542840
Shmem,32,0.573939,0.569707,0.581828
Shmem,48,0.608805,0.603536,0.616785
Shmem,64,0.490145,0.485475,0.499086
Shmem,128,0.493441,0.489171,0.501917
Shmem,238,0.514793,0.511037,0.522263
Shmem,512,0.491623,0.485508,0.503529
Shmem,1024,0.488449,0.483933,0.496400
Naive,32,0.856774,0.734074,1.024453
Naive,48,1.027012,0.875336,1.170102
Naive,64,1.397996,1.271663,1.561110
Naive,128,1.399845,1.234457,1.584752
Naive,238,1.477273,1.367503,1.654241
Naive,512,1.504051,1.400734,1.691008
Naive,1024,1.540009,1.432920,1.715644
Transpose,32,0.421193,0.419469,0.431167
Transpose,48,0.494636,0.493173,0.505479
Transpose,64,0.425712,0.419056,0.473500
Transpose,128,0.421164,0.419184,0.431010
Transpose,238,0.437709,0.435889,0.448645
Transpose,512,0.421346,0.419198,0.432038
Transpose,1024,0.421325,0.419567,0.432122
Shmem,32,0.448986,0.445167,0.461756
Shmem,48,0.463592,0.457014,0.511612
Shmem,64,0.377565,0.375543,0.388587
Shmem,128,0.376128,0.374188,0.386209
Shmem,238,0.395418,0.392800,0.406297
Shmem,512,0.379517,0.377253,0.389138
Shmem,1024,0.381368,0.377803,0.391901
All_GPU,32,0.319497,0.314021,0.342906
All_GPU,48,0.345031,0.336770,0.397956
All_GPU,64,0.254133,0.251816,0.253393
All_GPU,128,0.248383,0.246381,0.247212
All_GPU,238,0.259052,0.257327,0.257562
All_GPU,512,0.240929,0.239265,0.239444
All_GPU,1024,0.241251,0.239548,0.239837
All_GPU,32,0.322178,0.314298,0.370451
All_GPU,48,0.345396,0.336857,0.400425
All_GPU,64,0.253963,0.251860,0.253415
All_GPU,128,0.248409,0.246225,0.247510
All_GPU,238,0.259077,0.257406,0.257675
All_GPU,512,0.240760,0.239278,0.239628
All_GPU,1024,0.240632,0.239540,0.239816
All_GPU_Delta_Reduction,32,0.447886,0.441254,0.488124
All_GPU_Delta_Reduction,48,0.358934,0.351693,0.404058
All_GPU_Delta_Reduction,64,0.266546,0.264098,0.265853
All_GPU_Delta_Reduction,128,0.250695,0.248491,0.249938
All_GPU_Delta_Reduction,238,0.259610,0.257969,0.258243
All_GPU_Delta_Reduction,512,0.241040,0.239876,0.240212
All_GPU_Delta_Reduction,1024,0.242341,0.240698,0.240925
All_GPU,32,0.323891,0.315628,0.368758
All_GPU,48,0.347406,0.338970,0.402360
All_GPU,64,0.255105,0.253434,0.253623
All_GPU,128,0.248426,0.246230,0.247690
All_GPU,238,0.258857,0.256847,0.257694
All_GPU,512,0.239967,0.238922,0.239026
All_GPU,1024,0.240169,0.239095,0.239345
All_GPU_Delta_Reduction,32,0.445132,0.443106,0.443850
All_GPU_Delta_Reduction,48,0.361078,0.353269,0.410987
All_GPU_Delta_Reduction,64,0.266975,0.265303,0.265563
All_GPU_Delta_Reduction,128,0.250649,0.248543,0.249671
All_GPU_Delta_Reduction,238,0.259187,0.257501,0.257814
All_GPU_Delta_Reduction,512,0.241407,0.239549,0.241456
All_GPU_Delta_Reduction,1024,0.243960,0.242326,0.242557
Naive,1024,1.069282,0.928483,1.299799
Transpose,1024,0.358869,0.354328,0.394727
Shmem,1024,0.413952,0.372735,0.567509
All_GPU,1024,0.241174,0.239525,0.239686
All_GPU_Delta_Reduction,1024,0.242561,0.240658,0.243346
